"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FP236241.1",140.175064372641,-0.551365183893321,0.774152408432283,-0.712217875818376,0.476329869198609,0.77067660509493
"LAMTOR4",527.575290107337,-0.0708098045855432,0.0994770619175177,-0.711820425941568,0.476575982459121,0.77067660509493
"PGM3",900.74150491346,0.0694942323645782,0.0975876822778396,0.712120943365811,0.476389886350355,0.77067660509493
"RPL12",10565.0894543026,-0.0283112457664487,0.039761581731723,-0.712025139177529,0.47644920899163,0.77067660509493
"RPS25",4614.25677998857,-0.0313573879706619,0.0440395218452406,-0.712028347647711,0.47644722221836,0.77067660509493
"CCDC74B",118.293343668625,0.168248477420969,0.236514764087989,0.711365643788632,0.476857683068757,0.770809215841673
"CDKN1B",740.798377013055,0.0635516885747162,0.0893497618429697,0.711268695784628,0.476917746271251,0.770809215841673
"FAM155B",64.6934410948392,-0.201588608032443,0.283356862973937,-0.711430123543486,0.476817737551018,0.770809215841673
"FERMT2",1884.05348121418,0.0427780863509328,0.0601378194610824,0.711334177632033,0.476877177169117,0.770809215841673
"GAL",54.7432949295959,-0.21364145314925,0.300359225329596,-0.711286470108627,0.476906734049864,0.770809215841673
"BMS1P7",29.2447961851809,-0.368648365675604,0.518798352458201,-0.710581218943453,0.477343784735358,0.771186693841473
"PLK2",6240.59833383213,-0.0285262263903567,0.0401375526172497,-0.7107116535575,0.477262936680447,0.771186693841473
"RETREG1",911.563642981848,-0.0632960472632347,0.0890644238045273,-0.710677109438811,0.477284347635406,0.771186693841473
"ZSCAN26",225.478681282118,0.107205596536862,0.150875576396672,0.710556334545522,0.477359209829486,0.771186693841473
"ADAT3",202.612610161594,-0.121423379111359,0.170933813561104,-0.710353186310639,0.477485145546818,0.771306162708561
"RNASEH1-AS1",72.2795517843108,0.188339595135656,0.265244507149827,0.710060303074512,0.477666741803606,0.771338166825683
"TFAP2E",59.1085093495546,-0.201459167844002,0.283750959925976,-0.709985854837488,0.477712907930255,0.771338166825683
"WDR11",1684.76722934446,0.0426406499306866,0.0600489441683874,0.710098246042678,0.47764321391295,0.771338166825683
